Longitude,Latitude,WELL.ID,SOURCE,Arsenic,Barium,Calcium,Chloride,Chromium,Fluoride,Iron,Magnesium,Manganese,Nickel,Nitrate.as.N,Potassium,Selenium,Sodium,Sulfate,Uranium,Vanadium
-121.9434,39.4438,101814,LLNL,0.861591437,12,12000,63000,0.80134894,500,5.151292048,5600,2.4,4.511439033,209.0670126,2100,4.931008159,140000,33000,0.543226332,2.357779535
-121.9434,39.4438,101815,LLNL,0.280056628,7.2,8800,58000,0.538532904,580,16.28594934,1200,6.9,0.069272851,623.2351884,507.5911393,2.344160795,95000,136.0855381,0.34700384,1.183280174
-121.9434,39.4438,101815,LLNL,0.607466371,7.3,9500,59000,0.194561205,610,11,1200,7.1,3.930298521,742.0363264,969.9334214,4.258749385,1.00E+05,305.9716154,0.38246743,2.658047325
-121.9434,39.4438,101816,LLNL,5.4,130,36000,85000,0.808986266,240,34,3300,26,3.547153778,644.6093806,2200,3.838494562,70000,5500,0.69594612,0.620069291
-121.6874,39.5446,101817,LLNL,16,120,29000,25000,0.262778332,320,25,5200,36,4.22565855,512.0180443,1400,1.253369466,34000,6500,0.653828696,2.208782535
-121.6874,39.5446,101817,LLNL,20,130,27000,22000,0.112559188,330,9.266723818,5300,40,0.643985572,366.4106941,1800,0.603777281,35000,9200,0.07888383,2.683135032
-121.8278,39.4634,101818,LLNL,11,380,70000,150000,0.307429683,280,130,16000,150,1.416144812,895.3014708,3200,4.384597059,62000,6600,0.417459697,0.646276461
-121.8278,39.4634,101818,LLNL,9.8,280,69000,130000,0.208257307,330,100,16000,130,1.836662052,36.70276243,3200,3.105079598,62000,5400,0.883297366,1.883030611
-121.8278,39.4634,101819,LLNL,1.4,9.6,7700,22000,0.055699578,780,190,2000,16,0.072950422,987.7133345,1800,0.36319403,220000,341.5045612,0.77445895,12
-121.828,39.3675,101820,LLNL,0.455376581,9.4,9400,35000,0.831402764,790,150,3100,23,3.245157286,611.3137726,3700,3.022716498,190000,182.3195891,0.675242138,5.1
-121.7392,39.6155,101821,LLNL,1.4,13,10000,88000,1.3,550,210,4900,21,0.755912923,197.4214441,7700,2.149995436,270000,56.44601909,0.383026294,6.3
-121.3354,38.8063,101949,LLNL,0.200982963,19,26000,13000,0.763760203,270,41,4900,32,1.013857778,115.5823939,3900,4.002441367,89000,380.1388291,0.698086638,1.559279821
-121.3354,38.8063,101950,LLNL,0.74306369,31,45000,19000,0.714003748,220,4.468463329,6400,27,3.704004643,392.8051888,2100,3.012859374,45000,54000,0.887302835,2.007439542
-121.3354,38.8063,101951,LLNL,0.615886833,38,68000,30000,0.239367263,230,34,11000,46,1.715061507,647.2697256,2200,1.609045764,41000,83000,0.219763708,0.583358635
-121.3354,38.8063,101952,LLNL,1,98,67000,34000,0.268062026,310,27,14000,110,1.825177275,585.0734905,3600,2.200734917,42000,84000,0.406874802,1.012573643
-121.3354,38.8063,101953,LLNL,4.2,84,81000,66000,0.681420223,380,2.798877116,18000,22,0.518675145,4100,3700,5.8,50000,110000,7.5,2.352150806
-121.3354,38.8063,101954,LLNL,3.2,110,95000,48000,0.974085403,200,37,13000,28,2.946173939,228.9598535,1900,1.879759594,28000,120000,0.352107016,2.188177913
-121.3354,38.8063,101955,LLNL,0.117298098,78,43000,35000,0.055236905,270,17.54829899,8200,42,3.517036316,656.395962,2200,2.397670676,52000,49000,0.205600668,0.309804993
-121.3354,38.8063,101955,LLNL,0.486504081,60,40000,32000,0.753646946,310,9.501378732,8000,43,0.009101218,361.7327664,2500,4.542159539,53000,39000,0.646212335,2.307308952
-121.3354,38.8063,101956,LLNL,2.6,120,70000,63000,0.507047131,310,13.38320849,12000,0.415480743,1.302221367,9900,3200,3.896826891,50000,98000,2.4,3.6
