Latitude,Longitude,SOURCE,SOURCE.NAM,OTHER.NAME,WELL.ID,Al (ppb),As (ppb),Ba (ppb),Ca (ppb),Cl (ppb),Cr (ppb),Cu (ppb),F (ppb),Fe (ppb),K (ppb),Mg (ppb),Mn (ppb),Mo (ppb),Ni (ppb),NO3 (ppb),Pb (ppb),Se (ppb),SO4 (ppb),Sr (ppb),U (ppb),V (ppb) ,Zn (ppb),Cr_level
39.80847222,-121.8521389,USGS,ESAC-16,ESAC-16,ESAC-16,1.1,0.78,25.4,18900,36300,0.58,0.4,80,6,3250,14000,0.15,0.2,0.14,776,0.1,0.06,10300,123,0.2368,21.1,0.52,Group 0
39.10886111,-121.6343056,USGS,ESAC-17,ESAC-17,ESAC-17,1.6,16,385,55400,124000,0.02,0.4,110,355,5100,48900,568,1.8,0.22,60,0.2,0.08,22000,488,0.03996,0.05,3.2,Group 0
39.72811111,-121.8094444,USGS,ESAC-18,ESAC-18,ESAC-18,1.4,0.73,20.9,17900,5390,0.97,0.4,60,5,2460,11700,0.2,0.23,0.2,672,0.178,0.04,2620,128,0.3848,21.8,3,Group 0
39.72811111,-121.8094444,USGS,ESAC-18,ESAC-18,ESAC-18,3,0.67,21.1,18700,5120,0.94,0.69,90,6,2380,11300,0.4,0.24,0.09,738,0.09,0.05,2560,116,0.3552,19.8,0.58,Group 0
39.24502778,-121.9550833,USGS,ESAC-21,ESAC-21,ESAC-21,1.5,80.6,461,58200,626000,0.04,0.4,100,221,8280,25000,257,16.5,0.07,60,0.51,0.08,900,460,0.03996,0.11,1.3,Group 0
39.76222222,-121.8062222,USGS,ESAC-25,ESAC-25,ESAC-25,1.3,0.83,12.6,17200,2070,0.73,0.57,90,6,1350,11300,0.2,0.27,0.12,544,0.15,0.06,2520,115,0.06956,30.6,1.2,Group 0
38.90786111,-121.79225,USGS,ESAC-26,ESAC-26,ESAC-26,1.7,23.1,39.1,8840,4120,0.02,1.2,140,6.1,1200,7850,80.2,4.25,0.18,60,0.26,0.08,4000,112,0.2072,9.6,1.3,Group 0
38.79319444,-121.6885833,USGS,ESAC-29,ESAC-29,ESAC-29,1.2,9.2,141,24500,15000,0.03,0.4,80,295,2440,15600,219,3.99,0.09,60,0.08,0.08,10600,276,0.444,0.42,12.2,Group 0
39.06316667,-121.8378333,USGS,ESAC-30,ESAC-30,ESAC-30,1,17,38,18700,58500,0.03,0.25,110,4,1670,21700,99.6,1.43,0.08,120,0.15,0.31,7280,195,0.3848,35,0.97,Group 0
39.34058333,-121.9427778,USGS,ESAC-31,ESAC-31,ESAC-31,3,12,98.8,52000,27900,0.5,0.4,80,19.1,2230,32200,21.8,2.25,0.2,44,0.94,0.1,18600,476,1.8796,15.6,8.2,Group 0
39.34058333,-121.9427778,USGS,ESAC-31,ESAC-31,ESAC-31,0.8,8.8,124,50100,17900,0.12,2.1,80,16.9,2490,34600,72.2,2.56,0.13,128,0.1,0.05,17400,388,3.0932,13.9,0.92,Group 0
39.06163889,-121.5719167,USGS,ESAC-FP-01,ESAC-FP-01,ESAC-FP-01,1.3,1.1,72.8,45300,124000,0.02,0.4,90,106,1870,9090,184,0.85,0.05,60,0.08,0.08,180,455,0.03996,0.05,6.4,Group 0
39.49275,-121.9648333,USGS,ESAC-FP-06,ESAC-FP-06,ESAC-FP-06,39.4,12.7,17.2,13500,19400,0.7,0.4,90,13.7,2880,3990,8.42,4.94,0.47,60,0.07,0.08,1390,127,0.06956,2.9,0.6,Group 0
39.49275,-121.9648333,USGS,ESAC-FP-07,ESAC-FP-07,ESAC-FP-07,17.2,9,35,14600,35900,0.22,0.4,90,9.6,2730,4690,16.4,8.27,0.76,60,0.05,0.08,280,96.7,0.05032,0.7,0.6,Group 0
38.05055556,-121.3423056,USGS,ESJ-10,ESJ-10,ESJ-10,3.6,7,174,42800,16000,0.35,2.4,110,6.1,4540,7700,66.2,0.899,0.52,701,1.08,0.4,4160,514,5.9348,16.1,3.1,Group 0
38.05055556,-121.3423056,USGS,ESJ-10,ESJ-10,ESJ-10,0.8,5.1,214,23400,15500,0.8,0.83,90,17.1,4340,12700,26.2,1.37,0.73,40,0.554,0.35,17000,304,1.7316,13.2,5,Group 0
38.22444444,-121.4222222,USGS,ESJ-11,ESJ-11,ESJ-11,4.2,8.1,95,19600,30000,0.3,0.8,120,67.1,1330,9280,108,3.62,0.22,40,0.04,0.05,290,214,0.0140008,0.13,2,Group 0
38.14691667,-121.3728056,USGS,ESJ-14,ESJ-14,ESJ-14,1.5,1.7,175,23600,12700,0.39,0.4,120,64.8,2060,9270,187,1.41,2.1,39,0.08,0.4,13700,265,0.41884,2.4,4.1,Group 0
38.14691667,-121.3728056,USGS,ESJ-14,ESJ-14,ESJ-14,2.2,24.9,103,28100,13100,0.8,1.1,120,42.8,2080,11800,131,4.36,0.61,39,0.04,2.4,6340,229,1.26984,0.1,1.8,Group 0
38.01841667,-121.3325833,USGS,ESJ-15,ESJ-15,ESJ-15,0.8,4.8,282,63900,48600,0.8,1.4,110,6,3760,22000,19,0.978,1.25,39,0.653,1.3,30900,799,7.5332,8.8,12.8,Group 0
37.98855556,-121.3073611,USGS,ESJ-19,ESJ-19,ESJ-19,1,8,195,37600,25700,0.8,2.3,100,4.3,4770,16800,0.94,0.979,1.56,47,0.911,0.3,24700,449,2.5604,11.2,4.7,Group 0
37.98855556,-121.3073611,USGS,ESJ-19:ESJDD-04,ESJ-19:ESJDD-04,ESJ-19:ESJDD-04,9.4,8.2,193,42000,20400,0.8,2.3,120,11.2,4090,18700,1.18,1.15,3.09,43,0.056,0.3,23800,441,2.8268,13.7,17.6,Group 0
37.98855556,-121.3073611,USGS,ESJ-19:ESJDD-05,ESJ-19:ESJDD-05,ESJ-19:ESJDD-05,1.2,8.9,192,41000,20600,0.8,0.3,120,6.2,4240,17900,1.16,1.02,3.67,60,0.08,0.3,22400,449,3.8924,16.3,2.8,Group 0
37.98855556,-121.3073611,USGS,ESJ-19:ESJDD-06,ESJ-19:ESJDD-06,ESJ-19:ESJDD-06,0.9,8.5,181,37300,21400,0.8,0.3,180,7.3,4350,16600,1.14,1.02,4.77,60,0.08,0.3,19100,416,2.96,15.3,4.4,Group 0
37.89066667,-121.2498056,USGS,ESJFP-08,ESJFP-08,ESJFP-08,1.4,13.9,210,41400,58500,0.4,9.1,100,13.2,2760,15000,87.9,1.15,1.23,60,1.16,0.6,18800,401,2.146,3.8,7.6,Group 0
35.21336111,-118.8250833,USGS,KERN-02,KERN-02,KERN-02,4.7,36.1,57.3,19300,39100,0.56,0.7,300,6,1630,1570,2,18.7,0.22,9070,0.047,2.1,42700,148,0.67488,29,2,Group 0
35.21336111,-118.8250833,USGS,KERN-02,KERN-02,KERN-02,4.5,29.5,70.7,30800,47500,0.66,0.8,280,4,2260,2460,1.76,22.1,0.2,6060,0.195,1.9,33800,190,0.64232,32.5,2.8,Group 0
35.22933333,-119.2565833,USGS,KERN-20,KERN-20,KERN-20,17.2,140,5.97,5270,31300,0.12,1.2,3080,4,290,295,4.41,70,0.13,40,0.515,0.16,92000,53.4,1.00936,20,2.8,Group 0
35.22933333,-119.2565833,USGS,KERN-20,KERN-20,KERN-20,4,157,12.2,7330,35900,0.3,1,3500,8.1,580,112,1.65,53.6,0.2,40,0.04,0.05,100000,36.5,1.34976,11.5,2,Group 0
35.74286111,-119.1753333,USGS,KERN-29,KERN-29,KERN-29,7.4,5.2,76.5,12200,2900,0.42,1.2,190,4,1900,2480,0.4,26.3,0.16,474,0.861,0.2,8530,99.1,0.5994,45.6,9.5,Group 0
35.74286111,-119.1753333,USGS,KERN-29,KERN-29,KERN-29,3.4,5.3,72.4,12400,2930,0.41,0.8,180,6,1970,2380,0.26,29.4,0.2,277,0.071,0.05,6870,98.3,0.65712,41.5,5.6,Group 0
35.28327778,-118.9153889,USGS,KERN-33,KERN-33,KERN-33,3.4,0.13,85.4,37800,19400,0.12,1,300,3.5,3940,7340,3.88,0.258,0.33,560,0.03,0.45,42400,163,0.4144,0.16,2.8,Group 0
35.44127778,-118.9409444,USGS,KERN-37,KERN-37,KERN-37,1,2,58.9,39800,9790,0.04,0.6,170,8.3,1770,488,2.63,8.03,0.96,362,0.295,0.08,28300,831,7.6664,0.2,14,Group 0
35.79011111,-119.3033889,USGS,KERN-41,KERN-41,KERN-41,33.5,31.4,1.61,4000,44100,0.05,0.2,850,13.3,260,10,0.47,24.5,0.09,2710,0.044,0.41,39700,11.3,0.144004,53.4,0.9,Group 0
35.12563889,-118.9413889,USGS,KERN-46,KERN-46,KERN-46,2.2,1.6,51.2,132000,60400,0.53,4.5,800,4.2,7030,31800,69.3,17.5,1.42,7400,0.08,6.6,579000,1270,14.504,5.2,5.2,Group 0
35.39902778,-118.9761389,USGS,KERNFP-01,KERNFP-01,KERNFP-01,2.2,0.26,100,85700,65500,0.06,0.7,100,31.1,2260,7480,80.3,9.03,0.46,60,0.212,0.08,147000,1080,0.29748,0.1,13.4,Group 0
35.36169444,-119.0536944,USGS,KERNFP-03,KERNFP-03,KERNFP-03,0.9,0.62,56.2,29800,21100,0.14,1.4,100,6,2010,2610,6.89,1.71,0.6,460,0.877,0.04,20300,279,1.45928,1.9,3.9,Group 0
36.73219444,-119.5010556,USGS,KING-20,KING-20,KING-20,0.9,1.4,6.56,9860,1750,0.36,0.8,50,3.1,1770,6540,0.4,0.372,0.2,2090,1.08,0.05,7940,77,1.34976,4.2,2.6,Group 0
36.73219444,-119.5010556,USGS,KING-20,KING-20,KING-20,25.7,1.2,4.9,13300,1720,0.35,1,40,4,1470,8390,0.2,0.42,0.05,1010,1.22,0.08,8760,58.9,0.9768,4.7,12,Group 0
36.65655556,-120.1875,USGS,KING-26,KING-26,KING-26,21.6,5.5,68,20100,359000,0.3,0.8,450,83.3,4930,1720,89.4,10.4,0.2,40,1.05,0.09,8340,282,0.038036,0.49,2,Group 0
36.72739391,-119.5971432,USGS,KINGFP-08,KINGFP-08,KINGFP-08,1.8,0.94,148,60700,14100,0.77,0.4,110,4.4,3950,51300,28.4,8.39,26.9,12800,0.08,0.05,98500,402,10.8928,16.1,0.3,Group 0
36.68858333,-119.9165556,USGS,KINGFP-14,KINGFP-14,KINGFP-14,1.6,18.8,86,34700,88400,0.13,0.37,180,50.5,9420,19500,2910,3.09,9,60,0.06,0.16,14400,366,1.22988,4,0.6,Group 0
