DGUNR,XUTM,YUTM,Top,Bottom,RedoxNumber,Texture
,,,36,38,2,5
,,,38,38.5,-999,3
,,,38.5,46,2,5
,,,46,65,-2,5
,,,65,76.5,-2,5
88. 128B,548889,6222893,0,0.5,-999,8
,,,0.5,11,2,1
,,,11,14,-999,3
,,,14,19,-999,3
88. 128C,548869,6222893,0,1.5,-999,-9999
,,,1.5,5,-999,-9999
,,,5,16,-999,-9999
88. 78A,555404,6222030,0,4,2,5
,,,4,24,-999,5
,,,24,32,-999,3
,,,32,37,-999,2
88. 78B,555423,6222021,0,20,-999,5
,,,20,30,-999,5
,,,30,31.5,-999,3
,,,31.5,66,-999,3
88. 3062,552886 ,6221203,0,9.45,2,-9999
,,,9.45,18,-2,-9999
88. 3063,553030 ,6221285,0,0.35,-2,8
,,,0.35,0.7,1,5
,,,0.7,1.1,-2,5
,,,1.1,1.22,2,5
,,,1.22,1.6,2,5
,,,1.6,2,1,5
,,,2,2.44,2,5
,,,2.44,2.7,2,5
,,,2.7,3.2,2,5
,,,3.2,3.66,2,5
,,,3.66,5,2,-9999
,,,5,5.1,2,5
,,,5.1,5.4,-1,5
,,,5.4,5.7,-1,5
,,,5.7,6.1,-2,5
,,,6.1,6.45,-2,5
,,,6.45,7.32,-2,-9999
,,,7.32,7.57,-1,5
,,,7.57,8,2,3
,,,8,8.51,2,3
,,,8.51,9.76,2,-9999
,,,9.76,9.97,2,3
,,,9.97,10.21,2,5
,,,10.21,10.86,2,3
,,,10.86,10.98,2,5
,,,10.98,12.2,-999,-9999
,,,12.2,12.8,2,3
,,,12.8,13.23,2,3
,,,13.23,13.42,2,3
,,,13.42,13.5,2,3
,,,13.5,13.81,2,3
,,,13.81,14.54,-999,-9999
,,,14.54,14.55,2,3
,,,14.55,14.8,2,3
88. 3073,553139 ,6221315,0,5.2,2,-9999
,,,5.2,11.8,-2,-9999
88. 3074,553455,6220734,7.5,7.5,-2,
,,,8.5,8.5,-2,
,,,10,10,-2,
,,,11.5,11.5,-2,
,,,14.5,14.5,1,
,,,16,16,1,
88. 3075,553442,6220665,8.5,8.5,2,
,,,10,10,2,
,,,11.5,11.5,2,
