x,y,Au,Ag,As,Ba,Be,Bi,Cd,Co,Cr,Cu,Mn,Nb,Ni,P,Pb,Rb,Sb,Sn,Ti,V,W,Zn,Zr,Si,Al,Fe,Mg,Ca,Na,K
19.085,9.3811,1.0264,0.079586,6.3056,620.2,2.3929,0.25095,0.098649,10.189,51.6,17.934,594.9,11.8,20.769,559.1,20.334,103.7,0.75421,2.54,3613.7,63.8,1.44,50.171,292.6,6.378e+05,1.399e+05,38900,14200,16800,17500,27800
2.9683,27.284,0.5593,0.06833,4.632,541.5,2.2353,0.22365,0.07371,5.9062,28.5,11.44,361,11.847,12.682,443.4,19.152,103.7,0.5962,2.3929,2641.5,48.2,1.178,37.152,308.6,6.564e+05,1.17e+05,26000,7800,12100,25100,29300
10.46,17.52,1.4899,0.05946,8.5416,533.7,1.9354,0.22788,0.09611,7.5012,44.1,14.883,484.2,8.933,18.144,436.1,18.678,95,0.7547,1.95,3023.9,66.2,1.1214,42.845,187.4,5.281e+05,1.123e+05,32200,19300,85300,15100,23200
13.677,17.484,1.4848,0.07476,6.522,555,2.2289,0.25077,0.09431,8.7318,46.8,14.916,447,11.59,20.57,460.1,18.427,98,0.7201,2.31,3132.1,65.4,1.3427,45.408,257.9,6.104e+05,1.223e+05,33700,13700,48700,17500,25700
24.349,8.2583,0.7952,0.06188,5.456,558.8,1.9729,0.19425,0.065457,5.4461,32,8.631,338.2,11.05,13.115,438.8,18.487,102.3,0.56249,2.03,3003.9,47.3,1.023,32.49,384.2,6.426e+05,1.225e+05,25200,10800,15800,22600,28300
33.525,27.935,0.3801,0.081584,6.522,577.5,2.0374,0.251,0.11633,6.2829,41.3,13.291,444.6,11.778,12.697,651.3,20.637,107.7,0.68885,4.16,3243.8,51.3,1.2879,46.894,337.7,6.57e+05,1.285e+05,29200,11500,14900,20700,29900
8.3173,18.275,1.7792,0.072561,8.0816,502.4,1.882,0.2478,0.08597,8.172,56.9,17.335,451.3,10.08,21.11,373.3,18.386,96.5,0.8415,2.35,3352.2,81.8,1.286,47.225,190.6,5.344e+05,1.193e+05,39500,19600,83500,13800,22900
24.903,11.166,0.8055,0.075468,7.4036,557.4,2.1569,0.2415,0.10752,7.403,39.9,14.249,453.3,12.74,14.333,618.5,20.469,105.8,0.66182,1.83,3401.4,58.9,1.296,47.554,447.2,6.229e+05,1.307e+05,31200,17300,24700,19900,30400
34.063,9.5689,0.6208,0.077228,5.2476,583.1,2.0657,0.25696,0.058615,5.4173,38.3,8.6847,307.1,10.001,11.708,446.9,18.61,107.5,0.58535,1.79,2609,44.9,1.1363,34.441,251,6.91e+05,1.275e+05,23900,9700,12700,21200,31000
12.47,17.259,0.6977,0.06804,6.74,564.8,1.9251,0.19796,0.048515,6.4145,35.7,10.636,385.9,10.11,14.291,466.6,17.079,108.7,0.52629,1.65,2840.5,56.3,1.1201,32.56,256.6,6.588e+05,1.236e+05,28700,11000,13400,20500,29300
15.403,10.151,1.2477,0.06896,6.74,523.8,1.6902,0.16468,0.09291,5.4222,29.7,9.6844,323.2,9.299,13.041,526.4,15.799,89.7,0.51583,1.76,2557,42.4,0.87892,31.966,220.6,5.186e+05,1.045e+05,25200,17200,81300,20400,23900
38.825,16.018,0.4825,0.072527,7.1808,587.1,2.1949,0.25508,0.070149,7.246,42.3,13.246,492,13.599,14.658,705.8,22.237,105.2,0.56465,1.81,3544.7,55.1,1.3798,46.594,408.5,6.417e+05,1.327e+05,32300,12400,15400,19100,29900
23.754,26.593,1.5002,0.08528,9.6712,645.6,2.3955,0.28665,0.095048,10.827,47.5,15.54,1269.7,11.1,25.662,507.8,22.612,91.2,1.058,2.08,3332.4,69.1,1.604,51.831,230.5,5.491e+05,1.211e+05,36800,15200,78600,16400,22600
11.524,8.7911,1.1241,0.07818,8.0816,578.6,2.3175,0.27276,0.11876,8.1343,40.8,18.084,400.2,12.66,20.506,468.1,20.367,101.5,0.7523,9.7885,3410.7,59.6,1.3784,49.412,342.9,6.516e+05,1.316e+05,34500,13200,16300,19100,27200
25.474,22.906,0.667,0.076899,6.9596,588.5,2.0328,0.26606,0.074035,5.8471,35.9,12.137,456.4,11.329,12.671,667.5,20.882,109.2,0.7245,1.93,3252,54.5,1.2227,42.592,302,6.369e+05,1.318e+05,31300,12100,17600,21400,29500
38.577,32.473,1.4138,0.065098,9.7868,541.2,2.205,0.34667,0.13019,13.089,47.54,58.692,552.3,15.274,39.133,531.3,21.382,94.7,0.992,2.066,3610.1,71.925,1.8529,58.786,304.6,5.035e+05,1.172e+05,37500,23200,88900,16100,21600
34.068,18.4,0.7131,0.0919,6.3056,561.8,2.2191,0.28959,0.11693,8.3526,42.5,15.887,474,12.547,15.705,684.1,22.936,95.9,0.73025,2.12,3861.2,63.5,1.4348,66.744,301,6.333e+05,1.283e+05,36800,10800,15100,22800,27600
23.316,12.077,2.3803,0.089494,8.3108,503,1.799,0.2625,0.14843,6.6418,38.4,14.07,343.9,10.39,17.924,566.7,20.387,89.4,0.77963,1.85,3082.5,55.9,1.322,43.459,354.8,5.107e+05,1.074e+05,29300,13000,87100,17900,22500
35.564,16.071,0.3443,0.085497,6.0908,604.5,2.1643,0.29202,0.13252,7.9854,41.1,15.851,528.6,11.469,15.061,747.2,24.427,107.6,0.6923,1.64,3567.8,61.3,1.3863,58.763,290.8,6.513e+05,1.305e+05,35200,10800,15100,21200,29600
17.184,4.2996,0.53636,0.06058,7.6672,586,2.059,0.2228,0.060705,6.825,40.3,10.512,373.8,13,14.354,526.4,16.433,101,0.55286,2.18,3656.8,59.4,1.1544,40.172,491.2,6.603e+05,1.339e+05,32100,10500,15000,21200,28100
26.335,14.794,1.0624,0.080772,6.522,554.4,2.3473,0.2625,0.084205,7.3744,40.7,11.256,382.1,11.86,17.073,465.6,20.717,110.7,0.82698,2.43,3193.9,52.2,2.554,45.649,377.4,6.596e+05,1.382e+05,32000,12700,14200,20600,29700
