X_Raster,Y_Raster,rock_types
1032.0,1.0,0.0
1033.0,3.0,0.0
1042.0,12.0,0.0
205.0,14.0,0.0
216.0,14.0,0.0
206.0,15.0,0.0
211.0,15.0,0.0
214.0,15.0,0.0
207.0,16.0,0.0
214.0,16.0,0.0
210.0,17.0,0.0
213.0,17.0,0.0
216.0,17.0,0.0
203.0,18.0,0.0
205.0,18.0,0.0
205.0,19.0,0.0
212.0,19.0,0.0
213.0,19.0,0.0
214.0,19.0,0.0
215.0,19.0,0.0
199.0,20.0,0.0
211.0,20.0,0.0
213.0,20.0,0.0
219.0,20.0,0.0
182.0,21.0,0.0
194.0,21.0,0.0
197.0,21.0,0.0
220.0,21.0,0.0
206.0,22.0,0.0
208.0,22.0,0.0
209.0,22.0,0.0
210.0,22.0,0.0
211.0,22.0,0.0
218.0,22.0,0.0
190.0,23.0,0.0
191.0,23.0,0.0
199.0,23.0,0.0
200.0,23.0,0.0
210.0,23.0,0.0
215.0,23.0,0.0
216.0,23.0,0.0
197.0,24.0,0.0
200.0,24.0,0.0
202.0,24.0,0.0
203.0,24.0,0.0
207.0,24.0,0.0
210.0,24.0,0.0
217.0,24.0,0.0
220.0,24.0,0.0
180.0,25.0,0.0
203.0,25.0,0.0
211.0,25.0,0.0
212.0,25.0,0.0
213.0,25.0,0.0
215.0,25.0,0.0
216.0,25.0,0.0
180.0,26.0,0.0
188.0,26.0,0.0
190.0,26.0,0.0
204.0,26.0,0.0
207.0,26.0,0.0
215.0,26.0,0.0
217.0,26.0,0.0
218.0,26.0,0.0
186.0,27.0,0.0
188.0,27.0,0.0
195.0,27.0,0.0
204.0,27.0,0.0
205.0,27.0,0.0
220.0,27.0,0.0
177.0,28.0,0.0
179.0,28.0,0.0
186.0,28.0,0.0
187.0,28.0,0.0
195.0,28.0,0.0
209.0,28.0,0.0
211.0,28.0,0.0
214.0,28.0,0.0
215.0,28.0,0.0
217.0,28.0,0.0
180.0,29.0,0.0
182.0,29.0,0.0
198.0,29.0,0.0
202.0,29.0,0.0
203.0,29.0,0.0
207.0,29.0,0.0
212.0,29.0,0.0
197.0,30.0,0.0
199.0,30.0,0.0
201.0,30.0,0.0
205.0,30.0,0.0
212.0,30.0,0.0
213.0,30.0,0.0
215.0,30.0,0.0
194.0,31.0,0.0
195.0,31.0,0.0
197.0,31.0,0.0
210.0,31.0,0.0
216.0,31.0,0.0
192.0,32.0,0.0
193.0,32.0,0.0
198.0,32.0,0.0
200.0,32.0,0.0
211.0,32.0,0.0
215.0,32.0,0.0
199.0,33.0,0.0
201.0,33.0,0.0
208.0,33.0,0.0
853.0,49.0,1.0
830.0,51.0,1.0
831.0,51.0,1.0
832.0,51.0,1.0
833.0,51.0,1.0
828.0,52.0,1.0
830.0,52.0,1.0
831.0,52.0,1.0
824.0,53.0,1.0
827.0,53.0,1.0
830.0,53.0,1.0
832.0,53.0,1.0
825.0,54.0,1.0
827.0,54.0,1.0
830.0,54.0,1.0
832.0,54.0,1.0
822.0,55.0,1.0
825.0,55.0,1.0
828.0,55.0,1.0
829.0,55.0,1.0
832.0,55.0,1.0
849.0,55.0,1.0
824.0,56.0,1.0
825.0,56.0,1.0
829.0,56.0,1.0
830.0,56.0,1.0
841.0,56.0,1.0
821.0,57.0,1.0
823.0,57.0,1.0
826.0,57.0,1.0
847.0,57.0,1.0
848.0,57.0,1.0
817.0,58.0,1.0
818.0,58.0,1.0
839.0,58.0,1.0
840.0,58.0,1.0
847.0,58.0,1.0
848.0,58.0,1.0
817.0,59.0,1.0
843.0,59.0,1.0
845.0,59.0,1.0
846.0,59.0,1.0
847.0,59.0,1.0
815.0,60.0,1.0
817.0,60.0,1.0
815.0,61.0,1.0
816.0,62.0,1.0
814.0,63.0,1.0
819.0,63.0,1.0
815.0,64.0,1.0
816.0,64.0,1.0
819.0,64.0,1.0
814.0,65.0,1.0
817.0,65.0,1.0
814.0,66.0,1.0
815.0,66.0,1.0
811.0,67.0,1.0
812.0,67.0,1.0
816.0,67.0,1.0
796.0,68.0,0.0
812.0,68.0,1.0
810.0,69.0,1.0
795.0,70.0,0.0
796.0,70.0,0.0
795.0,71.0,0.0
815.0,71.0,1.0
793.0,72.0,0.0
790.0,73.0,0.0
793.0,73.0,0.0
811.0,73.0,1.0
813.0,73.0,1.0
814.0,73.0,1.0
809.0,74.0,1.0
790.0,75.0,0.0
810.0,75.0,1.0
812.0,75.0,1.0
807.0,76.0,1.0
809.0,76.0,1.0
810.0,76.0,1.0
811.0,76.0,1.0
811.0,77.0,1.0
779.0,78.0,0.0
779.0,80.0,0.0
771.0,85.0,0.0
769.0,86.0,0.0
770.0,86.0,0.0
768.0,87.0,0.0
770.0,88.0,0.0
772.0,88.0,0.0
